name,year_start,year_end,position,height,weight,birth_date,college,te,test,height_good,
Alex Abrines,2017,2018,G-F,6-Jun,190,1-Aug-93,,6,6,78,"('Alex Abrines',78,190,2017,2018,'08/01/1993','', 'G-F'),"
Quincy Acy,2013,2018,F,7-Jun,240,6-Oct-90,Baylor University,6,7,79,"('Quincy Acy',79,240,2013,2018,'10/06/1990','Baylor University', 'F'),"
Steven Adams,2014,2018,C,Jul-00,255,20-Jul-93,University of Pittsburgh,7,1,85,"('Steven Adams',85,255,2014,2018,'07/20/1993','University of Pittsburgh', 'C'),"
Bam Adebayo,2018,2018,C-F,10-Jun,243,18-Jul-97,University of Kentucky,6,10,82,"('Bam Adebayo',82,243,2018,2018,'07/18/1997','University of Kentucky', 'C-F'),"
Arron Afflalo,2008,2018,G,5-Jun,210,15-Oct-85,"University of California, Los Angeles",6,5,77,"('Arron Afflalo',77,210,2008,2018,'10/15/1985','University of California, Los Angeles', 'G'),"
Cole Aldrich,2011,2018,C,11-Jun,250,31-Oct-88,University of Kansas,6,11,83,"('Cole Aldrich',83,250,2011,2018,'10/31/1988','University of Kansas', 'C'),"
LaMarcus Aldridge,2007,2018,F-C,11-Jun,260,19-Jul-85,University of Texas at Austin,6,11,83,"('LaMarcus Aldridge',83,260,2007,2018,'07/19/1985','University of Texas at Austin', 'F-C'),"
Jarrett Allen,2018,2018,F-C,10-Jun,234,21-Apr-98,University of Texas at Austin,6,10,82,"('Jarrett Allen',82,234,2018,2018,'04/21/1998','University of Texas at Austin', 'F-C'),"
Kadeem Allen,2018,2018,G,3-Jun,192,15-Jan-93,University of Arizona,6,3,75,"('Kadeem Allen',75,192,2018,2018,'01/15/1993','University of Arizona', 'G'),"
Tony Allen,2005,2018,G-F,4-Jun,213,11-Jan-82,Oklahoma State University,6,4,76,"('Tony Allen',76,213,2005,2018,'01/11/1982','Oklahoma State University', 'G-F'),"
Al-Farouq Aminu,2011,2018,F,9-Jun,220,21-Sep-90,Wake Forest University,6,9,81,"('Al-Farouq Aminu',81,220,2011,2018,'09/21/1990','Wake Forest University', 'F'),"
Justin Anderson,2016,2018,G,6-Jun,228,19-Nov-93,University of Virginia,6,6,78,"('Justin Anderson',78,228,2016,2018,'11/19/1993','University of Virginia', 'G'),"
Kyle Anderson,2015,2018,F-G,9-Jun,230,20-Sep-93,"University of California, Los Angeles",6,9,81,"('Kyle Anderson',81,230,2015,2018,'09/20/1993','University of California, Los Angeles', 'F-G'),"
Ryan Anderson,2009,2018,F,10-Jun,240,6-May-88,University of California,6,10,82,"('Ryan Anderson',82,240,2009,2018,'05/06/1988','University of California', 'F'),"
Ike Anigbogu,2018,2018,F-C,10-Jun,252,22-Oct-98,"University of California, Los Angeles",6,10,82,"('Ike Anigbogu',82,252,2018,2018,'10/22/1998','University of California, Los Angeles', 'F-C'),"
Giannis Antetokounmpo,2014,2018,F-G,11-Jun,222,6-Dec-94,,6,11,83,"('Giannis Antetokounmpo',83,222,2014,2018,'12/06/1994','', 'F-G'),"
Carmelo Anthony,2004,2018,F,8-Jun,240,29-May-84,Syracuse University,6,8,80,"('Carmelo Anthony',80,240,2004,2018,'05/29/1984','Syracuse University', 'F'),"
OG Anunoby,2018,2018,F,8-Jun,232,17-Jul-97,Indiana University,6,8,80,"('OG Anunoby',80,232,2018,2018,'07/17/1997','Indiana University', 'F'),"
Ryan Arcidiacono,2018,2018,G,3-Jun,188,26-Mar-94,Villanova University,6,3,75,"('Ryan Arcidiacono',75,188,2018,2018,'03/26/1994','Villanova University', 'G'),"
Trevor Ariza,2005,2018,F,8-Jun,215,30-Jun-85,"University of California, Los Angeles",6,8,80,"('Trevor Ariza',80,215,2005,2018,'06/30/1985','University of California, Los Angeles', 'F'),"
Darrell Arthur,2009,2018,F,9-Jun,235,25-Mar-88,University of Kansas,6,9,81,"('Darrell Arthur',81,235,2009,2018,'03/25/1988','University of Kansas', 'F'),"
Jamel Artis,2018,2018,G-F,7-Jun,213,12-Jan-93,University of Pittsburgh,6,7,79,"('Jamel Artis',79,213,2018,2018,'01/12/1993','University of Pittsburgh', 'G-F'),"
Omer Asik,2011,2018,C,Jul-00,255,4-Jul-86,,7,1,85,"('Omer Asik',85,255,2011,2018,'07/04/1986','', 'C'),"
D.J. Augustin,2009,2018,G,Jun-00,183,10-Nov-87,University of Texas at Austin,6,1,73,"('D.J. Augustin',73,183,2009,2018,'11/10/1987','University of Texas at Austin', 'G'),"
Luke Babbitt,2011,2018,F,9-Jun,225,20-Jun-89,"University of Nevada, Reno",6,9,81,"('Luke Babbitt',81,225,2011,2018,'06/20/1989','University of Nevada, Reno', 'F'),"
Dwayne Bacon,2018,2018,G,6-Jun,222,30-Aug-95,Florida State University,6,6,78,"('Dwayne Bacon',78,222,2018,2018,'08/30/1995','Florida State University', 'G'),"
Ron Baker,2017,2018,G,4-Jun,220,30-Mar-93,Wichita State University,6,4,76,"('Ron Baker',76,220,2017,2018,'03/30/1993','Wichita State University', 'G'),"
Lonzo Ball,2018,2018,G,6-Jun,190,27-Oct-97,"University of California, Los Angeles",6,6,78,"('Lonzo Ball',78,190,2018,2018,'10/27/1997','University of California, Los Angeles', 'G'),"
J.J. Barea,2007,2018,G,Jun-00,185,26-Jun-84,Northeastern University,6,1,73,"('J.J. Barea',73,185,2007,2018,'06/26/1984','Northeastern University', 'G'),"
Harrison Barnes,2013,2018,F,8-Jun,210,30-May-92,University of North Carolina,6,8,80,"('Harrison Barnes',80,210,2013,2018,'05/30/1992','University of North Carolina', 'F'),"
