"college_id","name"
"1","Western Kentucky University"
"2","Tennessee Technological University"
"3","Utah Valley State College"
"4","University of Southern California"
"5","California State University, Fullerton"
"6","Central Michigan University"
"7","University of Minnesota"
"8","Bowling Green State University"
"9","University of Montana"
"10","Louisiana Tech University"
"11","Louisiana State University"
"12","Texas Tech University"
"13","California State University, Fresno"
"14","Portland State University"
"15","University of North Texas"
"16","University of New Mexico"
"17","Augusta State University"
"18","Saint Marys College of California"
"19","University of Iowa"
"20","University of Portland"
"21","University of Oregon"
"22","Southern Methodist University"
"23","University of Memphis"
"24","University of Notre Dame"
"25","University of South Carolina"
"26","University of Miami"
"27","Hofstra University"
"28","Indiana University-Purdue University Indianapolis"
"29","Duke University"
"30","Indiana University"
"31","Temple University"
"32","Boston University"
"33","Pennsylvania State University"
"34","Syracuse University"
"35","Norfolk State University"
"36","Iowa State University"
"37","University of Alabama at Birmingham"
"38","Iona College"
"39","Oral Roberts University"
"40","Texas Christian University"
"41","Valparaiso University"
"42","University of Connecticut"
"43","University of North Carolina"
"44","Oregon State University"
"45","St. Johns University"
"46","Westchester CC"
"47","College of Charleston"
"48","Butler University"
"49","University of Hawaii"
"50","Alabama - Huntsville"
"51","Murray State University"
"52","Cleveland State University"
"53","Eastern Michigan University"
"54","Davidson College"
"55","Florida International University"
"56","Bucknell University"
"57","Tennessee State University"
"58",""
"59","North Carolina State University"
"60","California Polytechnic State University, San Luis Obispo"
"61","Seton Hall University"
"62","Butler County Community College"
"63","Auburn University"
"64","Towson University"
"65","Jacksonville State University"
"66","Georgetown University"
"67","University of Houston"
"68","University of South Florida"
"69","University of Central Florida"
"70","South Dakota State University"
"71","San Diego State University"
"72","University of Louisiana at Lafayette"
"73","Northeastern University"
"74","Eastern Washington University"
"75","West Virginia University"
"76","University of Tennessee"
"77","University of Maryland"
"78","University of Alabama"
"79","University of Kentucky"
"80","Belmont University"
"81","La Salle University"
"82","Harvard University"
"83","Creighton University"
"84","University of Nevada, Reno"
"85","University of Oklahoma"
"86","University of Richmond"
"87","Purdue University"
"88","Pepperdine University"
"89","Oklahoma State University"
"90","Jackson State University"
"91","Mississippi State University"
"92","Western Michigan University"
"93","University of Dayton"
"94","Cornell University"
"95","Wake Forest University"
"96","University of Tennessee at Martin"
"97","University of Rhode Island"
"98","Colorado State University"
"99","University of Illinois at Urbana-Champaign"
"100","University of California"
"101","Marquette University"
"102","Ohio State University"
"103","University of Utah"
"104","Northern Illinois University"
"105","University of California, Los Angeles"
"106","Meridian Community College"
"107","Texas State University"
"108","Midwestern State University"
"109","Rider University"
"110","Saint Louis University"
"111","University of Virginia"
"112","Siena College"
"113","DePaul University"
"114","Lamar University"
"115","Georgia Institute of Technology"
"116","Marshall University"
"117","Morehead State University"
"118","University of Nebraska"
"119","Xavier University"
"120","Georgia State University"
"121","Virginia Military Institute"
"122","Vanderbilt University"
"123","Weber State University"
"124","Baylor University"
"125","University of Michigan"
"126","University of Washington"
"127","Villanova University"
"128","Boston College"
"129","University of Wyoming"
"130","Lehigh University"
"131","University of Cincinnati"
"132","University of California, Santa Barbara"
"133","Missouri State University"
"134","Virginia Polytechnic Institute and State University"
"135","Blinn College"
"136","Rutgers University"
"137","Providence College"
"138","University of Florida"
"139","Michigan State University"
"140","University of Wisconsin"
"141","Southeast Missouri State University"
"142","University of Arkansas at Little Rock"
"143","Ohio University"
"144","Oakland University"
"145","Brigham Young University"
"146","University of Colorado"
"147","University of Pittsburgh"
"148","University of Wisconsin-Green Bay"
"149","University of Nevada, Las Vegas"
"150","Virginia Commonwealth University"
"151","University of South Carolina Upstate"
"152","Santa Clara University"
"153","University of Detroit Mercy"
"154","Gonzaga University"
"155","Arizona State University"
"156","University of Missouri"
"157","Alabama A&M University"
"158","University of Tulsa"
"159","Western Carolina University"
"160","University of Texas at El Paso"
"161","California State University, Long Beach"
"162","Old Dominion University"
"163","Clemson University"
"164","New Mexico State University"
"165","University of Massachusetts Amherst"
"166","Kansas State University"
"167","George Washington University"
"168","University of Arkansas"
"169","Washington State University"
"170","Texas A&M University"
"171","University of Georgia"
"172","Virginia Union University"
"173","University of Arizona"
"174","University of Kansas"
"175","Saint Josephs University"
"176","Wichita State University"
"177","Stanford University"
"178","Florida State University"
"179","Rice University"
"180","College of the Holy Cross"
"181","Robert Morris University (IL)"
"182","University of Louisville"
"183","Bradley University"
"184","St. Bonaventure University"
"185","University of Texas at Austin"
