"college_name","number_of_players"
"Western Kentucky University","2"
"Tennessee Technological University","1"
"Utah Valley State College","1"
"University of Southern California","8"
"California State University, Fullerton","2"
"Central Michigan University","1"
"University of Minnesota","2"
"Bowling Green State University","2"
"University of Montana","1"
"Louisiana Tech University","1"
"Louisiana State University","15"
"Texas Tech University","2"
"California State University, Fresno","5"
"Portland State University","1"
"University of North Texas","1"
"University of New Mexico","6"
"Augusta State University","1"
"Saint Marys College of California","2"
"University of Iowa","3"
"University of Portland","1"
"University of Oregon","7"
"Southern Methodist University","3"
"University of Memphis","11"
"University of Notre Dame","10"
"University of South Carolina","2"
"University of Miami","5"
"Hofstra University","1"
"Indiana University-Purdue University Indianapolis","1"
"Duke University","34"
"Indiana University","10"
"Temple University","2"
"Boston University","1"
"Pennsylvania State University","1"
"Syracuse University","21"
"Norfolk State University","1"
"Iowa State University","9"
"University of Alabama at Birmingham","2"
"Iona College","1"
"Oral Roberts University","1"
"Texas Christian University","1"
"Valparaiso University","1"
"University of Connecticut","17"
"University of North Carolina","25"
"Oregon State University","3"
"St. Johns University","4"
"Westchester CC","1"
"College of Charleston","1"
"Butler University","2"
"University of Hawaii","1"
"Alabama - Huntsville","1"
"Murray State University","3"
"Cleveland State University","1"
"Eastern Michigan University","1"
"Davidson College","1"
"Florida International University","2"
"Bucknell University","1"
"Tennessee State University","1"
"","174"
"North Carolina State University","7"
"California Polytechnic State University, San Luis Obispo","1"
"Seton Hall University","2"
"Butler County Community College","1"
"Auburn University","1"
"Towson University","2"
"Jacksonville State University","1"
"Georgetown University","8"
"University of Houston","3"
"University of South Florida","2"
"University of Central Florida","2"
"South Dakota State University","1"
"San Diego State University","4"
"University of Louisiana at Lafayette","3"
"Northeastern University","1"
"Eastern Washington University","2"
"West Virginia University","2"
"University of Tennessee","6"
"University of Maryland","8"
"University of Alabama","5"
"University of Kentucky","40"
"Belmont University","1"
"La Salle University","1"
"Harvard University","1"
"Creighton University","3"
"University of Nevada, Reno","4"
"University of Oklahoma","4"
"University of Richmond","1"
"Purdue University","8"
"Pepperdine University","1"
"Oklahoma State University","9"
"Jackson State University","1"
"Mississippi State University","3"
"Western Michigan University","1"
"University of Dayton","4"
"Cornell University","1"
"Wake Forest University","9"
"University of Tennessee at Martin","1"
"University of Rhode Island","2"
"Colorado State University","2"
"University of Illinois at Urbana-Champaign","5"
"University of California","11"
"Marquette University","12"
"Ohio State University","9"
"University of Utah","5"
"Northern Illinois University","1"
"University of California, Los Angeles","28"
"Meridian Community College","1"
"Texas State University","1"
"Midwestern State University","1"
"Rider University","1"
"Saint Louis University","2"
"University of Virginia","7"
"Siena College","1"
"DePaul University","3"
"Lamar University","1"
"Georgia Institute of Technology","11"
"Marshall University","1"
"Morehead State University","1"
"University of Nebraska","1"
"Xavier University","5"
"Georgia State University","1"
"Virginia Military Institute","1"
"Vanderbilt University","6"
"Weber State University","2"
"Baylor University","10"
"University of Michigan","12"
"University of Washington","15"
"Villanova University","9"
"Boston College","4"
"University of Wyoming","3"
"Lehigh University","1"
"University of Cincinnati","5"
"University of California, Santa Barbara","3"
"Missouri State University","1"
"Virginia Polytechnic Institute and State University","4"
"Blinn College","1"
"Rutgers University","1"
"Providence College","5"
"University of Florida","15"
"Michigan State University","17"
"University of Wisconsin","6"
"Southeast Missouri State University","1"
"University of Arkansas at Little Rock","2"
"Ohio University","1"
"Oakland University","2"
"Brigham Young University","3"
"University of Colorado","7"
"University of Pittsburgh","6"
"University of Wisconsin-Green Bay","1"
"University of Nevada, Las Vegas","11"
"Virginia Commonwealth University","5"
"University of South Carolina Upstate","1"
"Santa Clara University","1"
"University of Detroit Mercy","2"
"Gonzaga University","10"
"Arizona State University","5"
"University of Missouri","7"
"Alabama A&M University","1"
"University of Tulsa","2"
"Western Carolina University","1"
"University of Texas at El Paso","3"
"California State University, Long Beach","2"
"Old Dominion University","1"
"Clemson University","2"
"New Mexico State University","3"
"University of Massachusetts Amherst","2"
"Kansas State University","6"
"George Washington University","3"
"University of Arkansas","8"
"Washington State University","3"
"Texas A&M University","8"
"University of Georgia","5"
"Virginia Union University","1"
"University of Arizona","22"
"University of Kansas","29"
"Saint Josephs University","4"
"Wichita State University","5"
"Stanford University","10"
"Florida State University","11"
"Rice University","2"
"College of the Holy Cross","1"
"Robert Morris University (IL)","1"
"University of Louisville","14"
"Bradley University","1"
"St. Bonaventure University","1"
"University of Texas at Austin","17"
