"name","team_name","tallest_height"
"Aaron Gray","Kings","85"
"Aaron Gray","Raptors","85"
"A.J. Hammons","Mavericks","85"
"Alexis Ajinca","Pelicans","86"
"Alex Len","Suns","85"
"Andrea Bargnani","Nets","85"
"Andrea Bargnani","Raptors","85"
"Andrew Bogut","Bucks","85"
"Andrew Bogut","Mavericks","85"
"Andrew Bogut","Warriors","85"
"Andrew Bynum","Lakers","85"
"Boban Marjanovic","Pistons","87"
"Brad Miller","Rockets","83"
"Brendan Haywood","Mavericks","85"
"Brook Lopez","Nets","85"
"Byron Mullens","76ers","85"
"Byron Mullens","Thunder","85"
"Chris Kaman","Lakers","85"
"Chris Kaman","Mavericks","85"
"Chris Kaman","Trail Blazers","85"
"Cole Aldrich","Clippers","83"
"Cole Aldrich","Rockets","83"
"Damian Jones","Warriors","85"
"Darko Milicic","Celtics","85"
"Darko Milicic","Timberwolves","85"
"DeAndre Jordan","Clippers","83"
"Dewayne Dedmon","76ers","85"
"Dewayne Dedmon","Magic","85"
"Dewayne Dedmon","Spurs","85"
"Dewayne Dedmon","Warriors","85"
"Diamond Stone","Clippers","83"
"Dirk Nowitzki","Mavericks","85"
"Dragan Bender","Suns","85"
"Dwight Howard","Rockets","83"
"Earl Barron","Bucks","85"
"Earl Barron","Suns","85"
"Earl Barron","Trail Blazers","85"
"Earl Barron","Warriors","85"
"Earl Barron","Wizards","85"
"Eddy Curry","Heat","85"
"Eddy Curry","Mavericks","85"
"Edy Tavares","Cavaliers","87"
"Edy Tavares","Hawks","87"
"Fab Melo","Celtics","85"
"Francisco Elson","76ers","85"
"Francisco Elson","Jazz","85"
"Georgios Papagiannis","Kings","85"
"Greg Oden","Heat","85"
"Hamady NDiaye","Kings","85"
"Hamady NDiaye","Wizards","85"
"Hassan Whiteside","Heat","85"
"Hassan Whiteside","Kings","85"
"Ian Mahinmi","Pacers","83"
"Ivica Zubac","Lakers","85"
"Jakob Poeltl","Raptors","85"
"Jared Jeffries","Rockets","83"
"Jarron Collins","Clippers","83"
"Jason Collins","Celtics","85"
"Jason Collins","Nets","85"
"Jason Collins","Wizards","85"
"Jason Smith","Magic","85"
"Jason Smith","Wizards","85"
"JaVale McGee","76ers","85"
"JaVale McGee","Mavericks","85"
"JaVale McGee","Warriors","85"
"JaVale McGee","Wizards","85"
"Jeff Foster","Pacers","83"
"Jeff Withey","Jazz","85"
"Jerome Jordan","Nets","85"
"Joel Embiid","76ers","85"
"Joel Przybilla","Bucks","85"
"Joel Przybilla","Trail Blazers","85"
"Johan Petro","Nets","85"
"Jonas Valanciunas","Raptors","85"
"Justin Hamilton","Heat","85"
"Justin Hamilton","Nets","85"
"Justin Hamilton","Timberwolves","85"
"Jusuf Nurkic","Trail Blazers","85"
"Karl-Anthony Towns","Timberwolves","85"
"Kelly Olynyk","Celtics","85"
"Kosta Koufos","Grizzlies","85"
"Kosta Koufos","Kings","85"
"Kosta Koufos","Timberwolves","85"
"Kristaps Porzingis","Knicks","87"
"Kyrylo Fesenko","Jazz","85"
"Lucas Nogueira","Raptors","85"
"Marc Gasol","Grizzlies","85"
"Marcus Camby","Rockets","83"
"Meyers Leonard","Trail Blazers","85"
"Miles Plumlee","Pacers","83"
"Miroslav Raduljica","Bucks","85"
"Miroslav Raduljica","Timberwolves","85"
"Myles Turner","Pacers","83"
"Nenad Krstic","Celtics","85"
"Nenad Krstic","Thunder","85"
"Nene Hilario","Rockets","83"
"Nikola Vucevic","76ers","85"
"Nikola Vucevic","Magic","85"
"Ognjen Kuzmic","Warriors","85"
"Omer Asik","Bulls","85"
"Pau Gasol","Bulls","85"
"Pau Gasol","Lakers","85"
"Pau Gasol","Spurs","85"
"Robert Sacre","Lakers","85"
"Robin Lopez","Bulls","85"
"Robin Lopez","Suns","85"
"Robin Lopez","Trail Blazers","85"
"Roy Hibbert","Hornets","86"
"Roy Hibbert","Nuggets","86"
"Rudy Gobert","Jazz","85"
"Ryan Hollins","Celtics","85"
"Ryan Hollins","Grizzlies","85"
"Ryan Hollins","Kings","85"
"Ryan Hollins","Wizards","85"
"Salah Mejri","Mavericks","85"
"Samuel Dalembert","Rockets","83"
"Semih Erden","Celtics","85"
"Shayne Whittington","Pacers","83"
"Solomon Alabi","Raptors","85"
"Spencer Hawes","76ers","85"
"Spencer Hawes","Bucks","85"
"Stephen Zimmerman","Magic","85"
"Steven Adams","Thunder","85"
"Thon Maker","Bucks","85"
"Timofey Mozgov","Lakers","85"
"Tim Ohlbrecht","Rockets","83"
"Tyler Zeller","Celtics","85"
"Tyson Chandler","Mavericks","85"
"Tyson Chandler","Suns","85"
"Viacheslav Kravtsov","Suns","85"
"Willie Cauley-Stein","Kings","85"
"Yi Jianlian","Mavericks","85"
"Yi Jianlian","Wizards","85"
