"name","team_name","minutes_played"
"Andrew Wiggins","Timberwolves","3048"
"Anthony Davis","Pelicans","2708"
"Brook Lopez","Nets","2222"
"Carmelo Anthony","Knicks","2538"
"C.J. McCollum","Trail Blazers","2796"
"Darren Collison","Kings","2063"
"DeAndre Jordan","Clippers","2570"
"DeMar DeRozan","Raptors","2620"
"Dennis Schroder","Hawks","2485"
"Devin Booker","Suns","2730"
"Elfrid Payton","Magic","2412"
"Giannis Antetokounmpo","Bucks","2845"
"Harrison Barnes","Mavericks","2803"
"Hassan Whiteside","Heat","2513"
"Isaiah Thomas","Celtics","2569"
"James Harden","Rockets","2947"
"Jimmy Butler","Bulls","2809"
"John Wall","Wizards","2836"
"Jordan Clarkson","Lakers","2397"
"Kawhi Leonard","Spurs","2474"
"Kemba Walker","Hornets","2739"
"Klay Thompson","Warriors","2649"
"LeBron James","Cavaliers","2794"
"Marc Gasol","Grizzlies","2531"
"Nik Stauskas","76ers","2188"
"Paul George","Pacers","2689"
"Rudy Gobert","Jazz","2744"
"Russell Westbrook","Thunder","2802"
"Tobias Harris","Pistons","2567"
"Wilson Chandler","Nuggets","2197"
