"player_id","season_id","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"1","4","68","6","1055","134","341","94","247","86","40","37","8","406"
"2","2","68","22","1287","152","331","18","60","301","68","27","22","398"
"2","3","63","0","847","66","141","4","15","216","28","23","26","171"
"2","4","38","1","558","70","170","37","90","115","18","14","15","222"
"2","5","59","29","876","119","214","19","49","188","27","29","24","307"
"2","7","29","0","342","42","75","1","2","77","11","13","15","116"
"3","2","70","67","1771","217","399","0","2","523","66","38","86","537"
"3","3","81","20","1197","93","185","0","0","332","43","40","57","265"
"3","4","80","80","2389","374","655","0","1","615","86","88","78","905"
"3","5","80","80","2014","261","426","0","0","533","62","42","89","636"
"5","1","69","69","2324","312","627","105","248","251","168","34","31","867"
"5","2","78","72","2502","375","884","118","333","247","129","41","7","1035"
"5","3","73","73","2552","464","1011","128","300","262","248","35","3","1330"
"5","4","61","45","1580","185","420","62","151","125","78","21","7","515"
"5","5","71","57","2371","354","799","91","238","266","144","25","10","909"
"5","6","62","62","2086","329","699","88","221","197","149","36","13","943"
"5","7","64","64","2307","397","905","72","240","239","206","40","11","1057"
"6","1","18","0","142","8","15","0","0","35","4","5","7","18"
"6","2","61","16","976","144","301","0","0","338","75","37","65","338"
"6","3","46","2","330","33","61","0","0","129","14","8","30","92"
"6","4","62","0","531","45","86","0","0","158","25","25","23","105"
"6","5","60","5","800","134","225","0","0","288","50","47","68","328"
"6","6","26","0","173","22","42","0","0","48","3","8","16","57"
"6","7","45","0","388","44","80","0","0","120","9","5","23","100"
"7","1","81","81","3211","707","1415","4","23","709","170","82","94","1769"
"7","2","71","71","2512","659","1415","37","105","726","124","48","68","1661"
"7","3","69","69","2498","652","1423","3","15","765","178","63","68","1603"
"7","4","72","72","2335","500","1049","23","56","524","139","46","89","1243"
"7","5","74","74","2261","536","1045","0","16","632","110","38","81","1331"
"7","6","55","55","1994","483","943","2","11","442","134","51","45","1191"
"7","7","74","74","2790","638","1318","2","14","670","192","62","91","1560"
"10","1","72","31","1494","251","492","4","23","193","104","129","44","643"
"10","2","63","41","1648","225","455","10","29","280","86","129","30","539"
"10","3","55","28","1278","204","413","11","47","208","94","90","19","495"
"10","4","71","66","1914","274","595","15","54","391","98","115","29","643"
"10","5","64","57","1620","215","469","15","42","296","70","110","18","535"
"10","6","58","57","1525","210","448","8","26","233","79","104","33","568"
"10","7","79","79","2109","284","638","3","24","363","98","119","44","705"
"11","1","81","14","1452","160","406","45","143","267","60","59","25","457"
"11","2","74","3","1366","147","357","34","124","342","59","70","62","412"
"11","3","80","65","2045","234","494","13","48","496","114","82","38","572"
"11","4","61","25","1773","183","466","70","212","451","99","60","44","532"
"11","5","82","82","2341","299","719","126","349","499","138","72","53","839"
"11","6","66","21","1477","150","365","13","47","308","66","59","34","399"
"11","7","76","71","2066","225","474","4","19","585","103","92","51","555"
"12","4","75","10","1228","186","439","58","194","245","66","41","23","532"
"12","5","55","9","647","71","175","22","83","132","29","19","25","208"
"13","2","33","8","358","31","89","3","11","72","28","15","7","74"
"13","4","72","14","1020","93","209","15","40","208","91","51","26","246"
"13","5","78","11","1245","138","295","12","37","244","123","60","29","350"
"14","1","64","14","1424","226","525","134","341","355","52","30","38","681"
"14","2","61","5","1675","291","729","122","359","295","55","33","20","833"
"14","3","22","14","795","155","354","67","164","142","17","10","7","436"
"14","4","72","72","2116","323","773","204","506","330","68","32","14","979"
"14","5","66","7","2008","397","929","131","358","396","73","38","25","1124"
"14","6","61","61","1964","332","757","166","422","471","54","50","26","980"
"14","7","81","22","2503","472","1115","213","557","519","97","42","31","1309"
"16","2","81","71","2541","383","780","7","44","542","207","73","85","1030"
"16","3","77","23","1897","173","418","41","118","339","150","60","61","525"
"16","4","80","80","2845","656","1259","49","180","700","434","131","151","1832"
"16","5","80","79","2823","513","1013","28","109","612","345","94","113","1350"
"17","1","77","77","2751","684","1503","95","251","563","221","68","46","1970"
"17","2","40","40","1428","358","806","61","179","264","122","40","17","966"
"17","3","77","77","2982","743","1643","167","415","622","242","95","51","2112"
"17","4","74","74","2538","602","1389","151","421","436","213","60","34","1659"
"17","5","72","72","2530","567","1307","105","310","556","299","62","38","1573"
"17","6","55","55","1876","441","1025","68","203","344","200","62","24","1245"
"17","7","67","67","2482","669","1489","157","414","460","171","52","32","1920"
"20","1","75","75","2600","303","762","82","271","408","162","120","31","826"
"20","2","82","82","2930","366","910","194","555","459","209","152","17","1048"
"20","3","77","77","2723","389","853","180","442","475","191","126","20","1107"
"20","4","80","80","2773","326","798","191","555","459","175","147","20","936"
"20","5","81","81","2859","357","859","185","499","366","188","160","26","1025"
"20","6","41","41","1350","168","403","29","87","215","135","69","25","444"
"20","7","56","15","1471","188","451","76","209","266","113","72","20","530"
"21","1","80","9","1609","310","624","0","6","342","53","52","63","729"
"21","2","58","4","988","155","384","26","110","171","57","48","26","382"
