"player_id","name","height","weight","year_start","year_end","dob","college_id"
"1","Alex Abrines","78","190","2017","2018","1993-08-01","58"
"2","Quincy Acy","79","240","2013","2018","1990-10-06","124"
"3","Steven Adams","85","255","2014","2018","1993-07-20","147"
"4","Bam Adebayo","82","243","2018","2018","1997-07-18","79"
"5","Arron Afflalo","77","210","2008","2018","1985-10-15","105"
"6","Cole Aldrich","83","250","2011","2018","1988-10-31","174"
"7","LaMarcus Aldridge","83","260","2007","2018","1985-07-19","185"
"8","Jarrett Allen","82","234","2018","2018","1998-04-21","185"
"9","Kadeem Allen","75","192","2018","2018","1993-01-15","173"
"10","Tony Allen","76","213","2005","2018","1982-01-11","89"
"11","Al-Farouq Aminu","81","220","2011","2018","1990-09-21","95"
"12","Justin Anderson","78","228","2016","2018","1993-11-19","111"
"13","Kyle Anderson","81","230","2015","2018","1993-09-20","105"
"14","Ryan Anderson","82","240","2009","2018","1988-05-06","100"
"15","Ike Anigbogu","82","252","2018","2018","1998-10-22","105"
"16","Giannis Antetokounmpo","83","222","2014","2018","1994-12-06","58"
"17","Carmelo Anthony","80","240","2004","2018","1984-05-29","34"
"18","OG Anunoby","80","232","2018","2018","1997-07-17","30"
"19","Ryan Arcidiacono","75","188","2018","2018","1994-03-26","127"
"20","Trevor Ariza","80","215","2005","2018","1985-06-30","105"
"21","Darrell Arthur","81","235","2009","2018","1988-03-25","174"
"22","Jamel Artis","79","213","2018","2018","1993-01-12","147"
"23","Omer Asik","85","255","2011","2018","1986-07-04","58"
"24","D.J. Augustin","73","183","2009","2018","1987-11-10","185"
"25","Luke Babbitt","81","225","2011","2018","1989-06-20","84"
"26","Dwayne Bacon","78","222","2018","2018","1995-08-30","178"
"27","Ron Baker","76","220","2017","2018","1993-03-30","176"
"28","Lonzo Ball","78","190","2018","2018","1997-10-27","105"
"29","J.J. Barea","73","185","2007","2018","1984-06-26","73"
"30","Harrison Barnes","80","210","2013","2018","1992-05-30","43"
"31","Will Barton","78","175","2013","2018","1991-01-06","23"
"32","Nicolas Batum","80","200","2009","2018","1988-12-14","58"
"33","Jerryd Bayless","75","200","2009","2018","1988-08-20","173"
"34","Aron Baynes","82","260","2013","2018","1986-12-09","169"
"35","Kent Bazemore","77","201","2013","2018","1989-07-01","162"
"36","Bradley Beal","77","207","2013","2018","1993-06-28","138"
"37","Malik Beasley","77","196","2017","2018","1996-11-26","178"
"38","Michael Beasley","81","235","2009","2018","1989-01-09","166"
"39","Marco Belinelli","77","210","2008","2018","1986-03-25","58"
"40","Jordan Bell","81","224","2018","2018","1995-01-07","21"
"41","DeAndre Bembry","78","210","2017","2018","1994-07-04","175"
"42","Dragan Bender","85","225","2017","2018","1997-11-17","58"
"43","Davis Bertans","82","210","2017","2018","1992-11-12","58"
