"player_id","team_id","season_id","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"675","5","1","23","0","196","23","54","0","0","58","10","4","5","57"
"466","31","1","82","1","2135","458","847","6","22","434","82","90","26","1045"
"904","29","1","78","46","1577","233","494","17","50","187","71","68","23","572"
"465","17","1","64","40","2034","412","935","105","271","174","75","45","17","1115"
"1045","21","1","52","6","766","82","160","2","10","118","58","39","20","188"
"757","5","1","82","82","3147","485","1146","194","516","431","242","124","63","1344"
"461","18","1","16","1","184","22","54","0","0","48","7","8","7","58"
"461","5","1","21","1","195","38","63","0","0","41","5","3","10","83"
"1044","15","1","7","0","31","1","8","0","4","3","0","1","0","2"
"903","3","1","11","0","84","14","42","2","10","15","7","4","0","39"
"903","18","1","10","0","206","29","73","4","12","36","31","5","0","67"
"990","28","1","17","6","198","21","39","0","0","50","13","5","4","66"
"990","1","1","42","32","713","82","181","0","0","223","19","18","22","198"
"756","28","1","64","11","1323","164","385","85","212","239","47","39","51","454"
"585","5","1","80","9","1626","268","572","102","241","216","121","28","3","738"
"673","7","1","22","22","723","113","268","43","108","56","123","20","0","335"
"673","10","1","36","34","1065","178","462","36","136","97","257","33","10","477"
"453","9","1","65","52","1865","246","537","37","110","313","88","34","23","676"
"452","31","1","75","0","1747","323","795","88","253","149","252","47","17","1027"
"1043","10","1","26","1","391","41","126","13","45","48","22","9","3","104"
"1042","29","1","11","0","124","9","29","3","15","8","28","3","1","21"
"1042","30","1","16","0","171","13","38","7","23","22","24","8","0","33"
"583","18","1","12","12","456","59","169","16","59","55","153","15","3","180"
"583","33","1","53","53","2009","369","806","89","258","205","514","64","12","1129"
"450","9","1","52","0","676","69","137","2","10","90","41","27","9","180"
"902","34","1","57","29","995","187","322","0","1","271","43","29","17","424"
"447","15","1","1","0","2","0","0","0","0","0","0","0","0","0"
"832","26","1","24","0","466","81","154","0","2","106","15","6","12","203"
"832","23","1","23","0","219","30","65","0","0","52","4","6","8","65"
"443","23","1","82","82","2847","614","1390","34","103","379","670","155","30","1793"
"1041","18","1","6","3","116","9","21","1","4","11","10","7","0","22"
"987","6","1","24","2","453","55","120","12","33","37","64","20","10","135"
"442","19","1","70","70","2451","528","1040","2","9","529","164","67","62","1322"
"670","21","1","59","28","1413","228","513","17","61","153","104","34","2","545"
"755","27","1","46","1","1094","152","340","55","132","147","53","28","9","453"
"1040","33","1","5","0","69","9","25","3","7","10","7","2","2","28"
"830","33","1","80","13","1567","126","307","36","107","182","278","61","17","343"
"580","2","1","82","1","1091","146","394","44","112","94","186","55","11","405"
"900","25","1","80","6","1416","228","446","1","11","296","69","32","9","669"
"1039","7","1","19","0","134","13","35","5","15","12","27","6","0","37"
"899","20","1","54","0","484","38","116","8","34","67","62","9","4","91"
"752","11","1","23","15","821","134","269","27","80","175","57","46","15","364"
"752","26","1","48","48","1872","252","582","35","106","394","116","59","48","749"
"985","34","1","54","49","1238","67","149","1","2","350","72","54","54","154"
"437","17","1","69","64","2606","398","972","34","115","317","574","121","35","1131"
"751","28","1","61","1","784","104","236","59","153","122","34","21","6","298"
"984","6","1","58","2","553","67","159","18","67","49","35","18","5","184"
"434","32","1","76","76","2823","692","1384","63","206","485","346","111","87","1941"
"579","18","1","56","17","1594","231","572","94","255","182","127","53","5","636"
"579","20","1","11","0","54","8","23","3","7","4","5","1","0","20"
"669","34","1","76","11","1666","313","708","125","323","295","48","42","42","840"
"578","29","1","70","1","860","95","233","25","86","73","151","22","4","249"
"577","10","1","31","31","994","114","216","0","2","301","45","27","38","282"
"983","18","1","42","0","438","61","144","3","8","61","69","13","8","158"
"575","15","1","79","64","2734","412","824","65","182","265","386","94","9","1086"
"1038","22","1","20","0","130","5","21","0","8","19","13","8","1","14"
"426","5","1","58","18","1030","97","222","0","0","181","40","22","86","236"
"424","31","1","78","14","1797","225","529","14","44","306","159","49","14","565"
"750","30","1","56","56","1910","237","529","86","213","256","285","54","20","640"
"750","25","1","25","16","630","85","193","41","97","100","58","18","14","237"
"749","28","1","64","21","1141","103","163","0","0","207","92","35","73","267"
"421","27","1","65","4","1362","141","313","47","115","295","82","28","28","434"
"572","15","1","27","23","1030","213","473","53","147","127","92","45","5","574"
"572","19","1","46","0","745","137","334","35","93","131","43","19","4","359"
"1037","5","1","22","0","314","51","104","0","1","57","11","7","3","131"
"1037","17","1","49","23","1069","154","327","4","25","156","51","28","9","393"
"668","15","1","75","39","1748","271","534","0","3","454","88","28","44","663"
"748","26","1","41","2","861","156","331","0","3","224","29","30","66","419"
"897","2","1","52","37","1178","95","186","1","1","301","60","32","42","211"
"1036","9","1","13","0","82","10","21","0","0","23","2","1","4","32"
"823","3","1","2","0","4","0","1","0","0","0","0","0","1","0"
"823","29","1","45","0","369","17","39","0","0","75","4","9","15","53"
"415","13","1","82","10","2564","492","1091","127","351","153","334","93","13","1293"
"413","26","1","12","0","126","12","42","7","26","15","24","9","4","38"
"413","16","1","9","0","83","7","21","3","10","6","6","1","1","17"
"413","22","1","3","0","21","1","5","0","1","2","2","1","1","2"
"746","27","1","37","8","711","97","241","28","78","54","111","25","3","266"
"411","9","1","70","7","963","133","304","18","48","102","138","45","25","361"
"1035","15","1","26","8","406","78","164","12","40","53","30","12","3","184"
"1035","3","1","8","0","77","16","32","2","5","9","2","2","2","39"
"1034","9","1","3","0","21","2","6","0","1","3","2","1","0","7"
"896","34","1","22","1","199","28","69","9","21","12","2","3","1","74"
"567","34","1","70","54","2183","363","827","26","90","216","361","76","10","1082"
"667","28","1","78","78","2870","744","1482","10","23","636","202","71","150","1971"
"1033","13","1","25","13","506","79","184","42","105","66","22","11","2","215"
"1033","21","1","2","0","22","7","10","4","6","3","1","0","0","20"
"1033","19","1","6","0","89","14","33","11","25","6","6","2","0","45"
"895","13","1","72","54","1158","128","330","94","249","106","77","21","5","383"
"406","4","1","12","0","115","13","39","0","5","18","21","4","0","37"
"894","32","1","7","1","50","3","12","1","4","7","3","0","2","12"
"564","22","1","60","6","738","101","191","0","1","201","26","29","17","278"
"404","31","1","64","1","734","144","291","1","4","210","30","8","19","344"
"1032","31","1","10","0","71","7","15","0","0","10","2","0","0","16"
"402","9","1","77","77","2645","497","1041","51","154","657","255","99","120","1274"
"1031","20","1","12","0","44","2","12","0","0","18","3","0","4","6"
"1031","18","1","4","3","25","1","4","0","0","3","1","0","0","2"
