"name","height","weight","year_start","year_end","dob","college","position"
"Alex Abrines","78","190","2017","2018","1993-08-01","","G-F"
"Quincy Acy","79","240","2013","2018","1990-10-06","Baylor University","F"
"Steven Adams","85","255","2014","2018","1993-07-20","University of Pittsburgh","C"
"Bam Adebayo","82","243","2018","2018","1997-07-18","University of Kentucky","C-F"
"Arron Afflalo","77","210","2008","2018","1985-10-15","University of California, Los Angeles","G"
"Cole Aldrich","83","250","2011","2018","1988-10-31","University of Kansas","C"
"LaMarcus Aldridge","83","260","2007","2018","1985-07-19","University of Texas at Austin","F-C"
"Jarrett Allen","82","234","2018","2018","1998-04-21","University of Texas at Austin","F-C"
"Kadeem Allen","75","192","2018","2018","1993-01-15","University of Arizona","G"
"Tony Allen","76","213","2005","2018","1982-01-11","Oklahoma State University","G-F"
"Al-Farouq Aminu","81","220","2011","2018","1990-09-21","Wake Forest University","F"
"Justin Anderson","78","228","2016","2018","1993-11-19","University of Virginia","G"
"Kyle Anderson","81","230","2015","2018","1993-09-20","University of California, Los Angeles","F-G"
"Ryan Anderson","82","240","2009","2018","1988-05-06","University of California","F"
"Ike Anigbogu","82","252","2018","2018","1998-10-22","University of California, Los Angeles","F-C"
"Giannis Antetokounmpo","83","222","2014","2018","1994-12-06","","F-G"
"Carmelo Anthony","80","240","2004","2018","1984-05-29","Syracuse University","F"
"OG Anunoby","80","232","2018","2018","1997-07-17","Indiana University","F"
"Ryan Arcidiacono","75","188","2018","2018","1994-03-26","Villanova University","G"
"Trevor Ariza","80","215","2005","2018","1985-06-30","University of California, Los Angeles","F"
"Darrell Arthur","81","235","2009","2018","1988-03-25","University of Kansas","F"
"Jamel Artis","79","213","2018","2018","1993-01-12","University of Pittsburgh","G-F"
"Omer Asik","85","255","2011","2018","1986-07-04","","C"
"D.J. Augustin","73","183","2009","2018","1987-11-10","University of Texas at Austin","G"
"Luke Babbitt","81","225","2011","2018","1989-06-20","University of Nevada, Reno","F"
"Dwayne Bacon","78","222","2018","2018","1995-08-30","Florida State University","G"
"Ron Baker","76","220","2017","2018","1993-03-30","Wichita State University","G"
"Lonzo Ball","78","190","2018","2018","1997-10-27","University of California, Los Angeles","G"
"J.J. Barea","73","185","2007","2018","1984-06-26","Northeastern University","G"
"Harrison Barnes","80","210","2013","2018","1992-05-30","University of North Carolina","F"
"Will Barton","78","175","2013","2018","1991-01-06","University of Memphis","G"
"Nicolas Batum","80","200","2009","2018","1988-12-14","","F-G"
"Jerryd Bayless","75","200","2009","2018","1988-08-20","University of Arizona","G"
"Aron Baynes","82","260","2013","2018","1986-12-09","Washington State University","C"
"Kent Bazemore","77","201","2013","2018","1989-07-01","Old Dominion University","G-F"
"Bradley Beal","77","207","2013","2018","1993-06-28","University of Florida","G"
"Malik Beasley","77","196","2017","2018","1996-11-26","Florida State University","G"
"Michael Beasley","81","235","2009","2018","1989-01-09","Kansas State University","F"
"Marco Belinelli","77","210","2008","2018","1986-03-25","","G-F"
"Jordan Bell","81","224","2018","2018","1995-01-07","University of Oregon","F"
"DeAndre Bembry","78","210","2017","2018","1994-07-04","Saint Josephs University","F"
"Dragan Bender","85","225","2017","2018","1997-11-17","","F"
"Davis Bertans","82","210","2017","2018","1992-11-12","","F"
"Patrick Beverley","73","185","2013","2018","1988-07-12","University of Arkansas","G"
"Khem Birch","81","220","2018","2018","1992-09-28","University of Nevada, Las Vegas","C-F"
"Jabari Bird","78","197","2018","2018","1994-07-03","University of California","G"
"Bismack Biyombo","81","255","2012","2018","1992-08-28","","C-F"
"Nemanja Bjelica","82","240","2016","2018","1988-05-09","","F"
"Tarik Black","81","250","2015","2018","1991-11-22","University of Kansas","C-F"
"Antonio Blakeney","76","197","2018","2018","1996-10-04","Louisiana State University","G"
"Eric Bledsoe","73","205","2011","2018","1989-12-09","University of Kentucky","G"
