"name","year","team","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"Alex Abrines","2017","OKC","68","6","1055","134","341","94","247","86","40","37","8","406"
"Quincy Acy","2017","TOT","38","1","558","70","170","37","90","115","18","14","15","222"
"Quincy Acy","2017","DAL","6","0","48","5","17","1","7","8","0","0","0","13"
"Quincy Acy","2017","BRK","32","1","510","65","153","36","83","107","18","14","15","209"
"Steven Adams","2017","OKC","80","80","2389","374","655","0","1","615","86","88","78","905"
"Arron Afflalo","2017","SAC","61","45","1580","185","420","62","151","125","78","21","7","515"
"Alexis Ajinca","2017","NOP","39","15","584","89","178","0","4","177","12","20","22","207"
"Cole Aldrich","2017","MIN","62","0","531","45","86","0","0","158","25","25","23","105"
"LaMarcus Aldridge","2017","SAS","72","72","2335","500","1049","23","56","524","139","46","89","1243"
"Lavoy Allen","2017","IND","61","5","871","77","168","0","1","220","57","18","24","177"
"Tony Allen","2017","MEM","71","66","1914","274","595","15","54","391","98","115","29","643"
"Al-Farouq Aminu","2017","POR","61","25","1773","183","466","70","212","451","99","60","44","532"
"Chris Andersen","2017","CLE","12","0","114","9","22","0","3","31","5","5","7","28"
"Alan Anderson","2017","LAC","30","0","308","30","80","14","44","24","11","3","0","86"
"Justin Anderson","2017","TOT","75","10","1228","186","439","58","194","245","66","41","23","532"
"Justin Anderson","2017","DAL","51","2","710","111","277","37","122","149","32","28","16","329"
"Justin Anderson","2017","PHI","24","8","518","75","162","21","72","96","34","13","7","203"
"Kyle Anderson","2017","SAS","72","14","1020","93","209","15","40","208","91","51","26","246"
"Ryan Anderson","2017","HOU","72","72","2116","323","773","204","506","330","68","32","14","979"
"Giannis Antetokounmpo","2017","MIL","80","80","2845","656","1259","49","180","700","434","131","151","1832"
"Carmelo Anthony","2017","NYK","74","74","2538","602","1389","151","421","436","213","60","34","1659"
"Joel Anthony","2017","SAS","19","0","122","10","16","0","0","31","3","2","6","25"
"Trevor Ariza","2017","HOU","80","80","2773","326","798","191","555","459","175","147","20","936"
"Darrell Arthur","2017","DEN","41","7","639","95","215","53","117","112","42","19","21","262"
"Omer Asik","2017","NOP","31","19","482","31","65","0","0","163","15","5","10","85"
"D.J. Augustin","2017","ORL","78","20","1538","195","517","95","274","117","209","31","1","616"
"Luke Babbitt","2017","MIA","68","55","1065","113","281","87","210","142","36","21","11","324"
"Ron Baker","2017","NYK","52","13","857","82","217","23","86","98","107","34","8","215"
"Wade Baldwin","2017","MEM","33","1","405","36","115","3","22","46","61","18","7","106"
"Leandro Barbosa","2017","PHO","67","0","963","172","392","35","98","104","81","31","8","419"
"J.J. Barea","2017","DAL","35","6","771","142","343","53","148","84","193","14","1","381"
"Harrison Barnes","2017","DAL","79","79","2803","599","1280","78","222","397","117","66","15","1518"
"Matt Barnes","2017","TOT","74","18","1777","185","473","87","263","387","194","48","26","527"
"Matt Barnes","2017","SAC","54","13","1367","147","383","69","211","296","149","36","17","413"
"Matt Barnes","2017","GSW","20","5","410","38","90","18","52","91","45","12","9","114"
"Will Barton","2017","DEN","60","19","1705","295","666","87","235","258","206","48","28","820"
"Brandon Bass","2017","LAC","52","0","577","107","186","1","3","129","21","14","11","292"
"Nicolas Batum","2017","CHO","77","77","2617","393","975","135","405","481","455","86","29","1164"
"Jerryd Bayless","2017","PHI","3","1","71","11","32","2","5","12","13","0","0","33"
"Aron Baynes","2017","DET","75","2","1163","143","279","0","0","333","32","17","39","365"
"Kent Bazemore","2017","ATL","73","64","1963","295","721","92","266","231","177","91","52","801"
"Bradley Beal","2017","WAS","77","77","2684","637","1322","223","552","239","267","83","21","1779"
"Malik Beasley","2017","DEN","22","1","165","33","73","9","28","17","11","7","0","83"
"Michael Beasley","2017","MIL","56","6","935","216","406","18","43","193","53","28","27","528"
"Marco Belinelli","2017","CHO","74","0","1778","264","615","102","283","178","147","44","9","780"
"DeAndre Bembry","2017","ATL","38","1","371","47","98","1","18","59","28","8","5","101"
"Dragan Bender","2017","PHO","43","0","574","57","161","28","101","103","23","10","22","146"
"Anthony Bennett","2017","BRK","23","1","264","38","92","13","48","78","12","5","3","115"
"Ben Bentil","2017","DAL","3","0","10","0","3","0","1","2","0","0","0","0"
"Davis Bertans","2017","SAS","67","6","808","103","234","69","173","99","46","20","28","303"
"Patrick Beverley","2017","HOU","67","67","2058","228","543","110","288","394","281","99","25","639"
"Bismack Biyombo","2017","ORL","81","27","1793","179","339","0","0","567","74","25","91","483"
"Nemanja Bjelica","2017","MIN","65","1","1190","151","356","56","177","244","79","40","20","403"
"Tarik Black","2017","LAL","67","16","1091","150","294","1","2","342","39","30","44","383"
"Eric Bledsoe","2017","PHO","66","66","2176","449","1034","104","310","320","418","92","31","1390"
"Bojan Bogdanovic","2017","TOT","81","54","2083","376","845","144","392","277","111","34","7","1113"
"Bojan Bogdanovic","2017","BRK","55","54","1482","269","611","99","277","197","90","24","3","783"
"Bojan Bogdanovic","2017","WAS","26","0","601","107","234","45","115","80","21","10","4","330"
"Andrew Bogut","2017","TOT","27","21","583","38","81","0","1","218","49","13","25","79"
"Andrew Bogut","2017","DAL","26","21","582","38","81","0","1","218","49","13","25","79"
"Andrew Bogut","2017","CLE","1","0","1","0","0","0","0","0","0","0","0","0"
"Joel Bolomboy","2017","UTA","12","0","53","9","16","1","4","17","2","1","2","22"
"Devin Booker","2017","PHO","78","78","2730","606","1431","147","405","249","268","72","21","1726"
"Trevor Booker","2017","BRK","71","43","1754","305","591","25","78","570","138","76","28","709"
"Avery Bradley","2017","BOS","55","55","1835","359","775","108","277","334","121","68","11","894"
"Corey Brewer","2017","TOT","82","11","1281","147","348","27","118","166","97","61","19","371"
"Corey Brewer","2017","HOU","58","8","923","94","227","22","94","114","61","37","11","242"
"Corey Brewer","2017","LAL","24","3","358","53","121","5","24","52","36","24","8","129"
"Malcolm Brogdon","2017","MIL","75","28","1982","290","635","78","193","213","317","84","12","767"
"Aaron Brooks","2017","IND","65","0","894","121","300","48","128","69","125","25","9","322"
"Anthony Brown","2017","TOT","11","0","159","18","50","7","27","33","8","5","1","43"
"Anthony Brown","2017","NOP","9","0","143","14","41","6","24","26","6","5","1","34"
"Anthony Brown","2017","ORL","2","0","16","4","9","1","3","7","2","0","0","9"
"Bobby Brown","2017","HOU","25","0","123","23","60","14","35","6","14","1","0","62"
"Jaylen Brown","2017","BOS","78","20","1341","192","423","46","135","220","64","35","18","515"
"Nicolas Brussino","2017","DAL","54","2","521","52","141","29","95","95","47","17","8","150"
"Reggie Bullock","2017","DET","31","5","467","54","128","28","73","64","29","18","3","141"
"Trey Burke","2017","WAS","57","0","703","116","255","31","70","47","100","11","5","285"
"Alec Burks","2017","UTA","42","0","653","99","248","25","76","120","30","18","5","283"
"Jimmy Butler","2017","CHI","76","75","2809","570","1252","91","248","470","417","143","32","1816"
"Bruno Caboclo","2017","TOR","9","0","40","6","16","2","6","10","4","2","1","14"
"Jose Calderon","2017","TOT","41","13","539","55","134","20","64","74","88","11","1","141"
"Jose Calderon","2017","LAL","24","11","292","32","77","12","34","42","51","7","1","80"
"Jose Calderon","2017","ATL","17","2","247","23","57","8","30","32","37","4","0","61"
"Kentavious Caldwell-Pope","2017","DET","76","75","2529","370","928","153","437","248","193","89","12","1047"
"Isaiah Canaan","2017","CHI","39","0","592","63","173","25","94","49","37","22","1","181"
"Clint Capela","2017","HOU","65","59","1551","362","563","0","0","526","64","34","80","818"
